Topic,Count,Name,Representation,Representative_Docs
-1,4879,-1_ai_job_jobs_chatgpt,"['ai', 'job', 'jobs', 'chatgpt', 'llm', 'just', 'like', 'people', 'im', 'work']","['To AI or Not to AI? The Use of AI in Employment Decisions', 'AI should take his job', 'Why to not use ChatGPT for job applications:']"
0,2634,0_ai_job_jobs_chatgpt,"['ai', 'job', 'jobs', 'chatgpt', 'people', 'layoffs', 'just', 'like', 'im', 'llm']","['The job market is hell now: Young people are using ChatGPT to write their applications; HR is using AI to read them, and no one is getting hired.\n ', 'The Job Market Is Hell - Young people are using ChatGPT to write their applications; HR is using AI to read them; no one is getting hired. ', 'The Job Market Is Hell\nYoung people are using ChatGPT to write their applications; HR is using AI to read them; no one is getting hired.\n']"
1,1381,1_openai_loudspeaker_link_hiring,"['openai', 'loudspeaker', 'link', 'hiring', 'jobalert', 'jobalert jobsearch', 'openai hiring', 'jobsearch', 'loudspeaker openai', 'roundpushpin']","[':loudspeaker: OpenAI is #hiring a Research Engineer, Robotics at OpenAI!\n\n:round_pushpin: San Francisco, California, United States\n\n\n:link: \n\n#jobalert #jobsearch', ':loudspeaker: OpenAI is #hiring a Research Scientist at OpenAI!\n\n:round_pushpin: San Francisco, California, United States\n\n  \n\n #jobalert #jobsearch\n\n\n:link: \n\n#machinelearning', ':loudspeaker: OpenAI is #hiring a Program Manager at OpenAI!\n\n:round_pushpin: San Francisco, California, United States\n\n  \n\n #jobalert #jobsearch\n\n\n:link: \n\n#design']"
2,728,2_chatgpt_job_using chatgpt_use,"['chatgpt', 'job', 'using chatgpt', 'use', 'using', 'write', 'forbes', 'use chatgpt', 'just', 'prompts']","['Forbes: Five ChatGPT prompts to land a higher paying job in 2024: ', 'Forbes: Five ChatGPT prompts to land a higher paying job in 2024: ', 'Forbes: 5 ChatGPT Prompts To Land A Higher Paying Job In 2024 ']"
3,650,3_llm_job_llms_like,"['llm', 'job', 'llms', 'like', 'using llm', 'good', 'just', 'using', 'use', 'think']","[""Research can perhaps be productive but that sure a shit isn't going to be accomplished via an LLM, and any academic who uses an LLM to write for them should be fired for using an LLM to write for them, writing is literally their main job."", 'this sounds like a job for an llm', ""An LLM with chain-of-thought that's also being prompted by another LLM that does nothing but hype up the other LLM to do a good job.""]"
4,456,4_gemini_job_gemini hiring_google,"['gemini', 'job', 'gemini hiring', 'google', 'loudspeaker gemini', 'web3community', 'jobsearch jobseekers', 'web3', 'jobseekers', 'link jobalert']","[':loudspeaker: Gemini is #hiring a Lead, Project Manager!\n\n:globe_showing_Americas: Remote - Remote (USA)\n\n\n:link: \n\n#jobalert #jobsearch #JobSeekers #web3jobs #web3 #web3community #remotejob #remotework #wfh #sql #marketing #design #finance', ':loudspeaker: Gemini is #hiring a Director, Trust & Safety!\n\n:globe_showing_Americas: Remote - Miami, Florida; New York, New York; Seattle, Washington\n\n\n:link: \n\n#jobalert #jobsearch #JobSeekers #web3jobs #web3 #web3community #remotejob #remotework #wfh #design', ':loudspeaker: Gemini is #hiring a Senior Associate, Trust and Safety!\n\n:globe_showing_Americas: Remote - Miami, Florida; New York, New York; Seattle, Washington\n:old_woman: Senior\n\n\n:link: \n\n#jobalert #jobsearch #JobSeekers #web3jobs #web3 #web3community #remotejob #remotework #wfh #sql #design']"
5,193,5_ich_und_die_das,"['ich', 'und', 'die', 'das', 'ist', 'nicht', 'les', 'der', 'den', 'zu']","['Oft habe ich früher gedacht: was ich Grad mache könnte auch ein dressierter Affe. Dann konnte ich mir entweder ein Skript schreiben, das den Job übernimmt, oder in den sauren Apfel beißen und es erledigen, weil das Skript länger dauern würde. Heute macht es ChatGPT für mich.', 'Ich habe nachher meinen ersten Arbeitstag im neuen Job und dafür bin ich Chatgpt dankbar :face_with_rolling_eyes:.\nIch hatte mich nur mit Lebenslauf beworben (wie sonst auch überall) und dann wurde ein Motivationsschreiben angefragt. Und aus ner Laune hab ich das mit chatgpt zusammen erstellt :smiling_face_with_sunglasses: und es hat überzeugt', 'Siehste und ich hab halt keine Ahnung, wofür das gut sein soll. Wenn Du das so sagst, ist es ok für mich. Aber ich mag halt Rechtschreibung (in richtig) und auch einigermaßen korrekte Grammatik. Und bin skeptisch, ob das ChatGPT nicht ggf Jobs kostet, hab mich aber nicht wirklich damit beschäftigt']"
6,190,6_altman_sam_sam altman_openai,"['altman', 'sam', 'sam altman', 'openai', 'ceo', 'ceo sam', 'openai ceo', 'says', 'altman says', 'ai']","['ChatGPT chief Sam Altman says AI could eliminate jobs that aren’t ‘real work’ — comments come among mounting evidence of jobs being replaced by AI\n\n\n\nSam Altman isn’t known for understatement, but even by his own standards, what he said on stage at…', 'ChatGPT chief Sam Altman says AI could eliminate jobs that aren’t ‘real work’ — comments come among mounting evidence of jobs being replaced by AI\n\n\n\nSam Altman isn’t known for understatement, but even by his own standards, what he said on stage at…', ' ChatGPT chief Sam Altman says AI could eliminate jobs that aren’t ‘real work’ — comments come among mounting evidence of jobs being replaced by AI  tomshardware.com/tech-industry /sam-altman-says-ai-could-eliminate-jobs-that-arent-real-work \n\nInterest | Match | Feed']"
7,173,7_det_en_som_att,"['det', 'en', 'som', 'att', 'med', 'og', 'er', 'har', 'til', 'om']","['Tror det heller er at det er masse data på hvordan det skal gjøres tilgjengelig og at det er basert på kode. Vi bruker en del AI på jobb, og til enkelte oppgaver er den veldig god (feks sammendrag av store tekster). Brukt feil (99% av all bruk?) er det nær verdiløst og i verste fall destruktivt.', 'Jeg har siddet med en jobansøgning de seneste par dage og damn ChatGPT er en kæmpe hjælp! Jovist kommer der mange outputs med dårlig grammatik, men generelt er det super godt til at få hjælp og feedback.\nOg så sluttede den af med en lille sød besked. Føler jeg har fået en ny ven:face_with_tears_of_joy:', 'Det bästa med mitt jobb är att mina måndagar skulle kunna ersättas med en AI från 1997. Back to back statusmöten på teams hela dagen som framförallt rör andra discipliner och folk med större ansvarsområden. Nu när jag tänker på det kan måndagarna ersättas av en pappfigur framför webbkameran.']"
8,142,8_engineer_ai_hiring_aiml,"['engineer', 'ai', 'hiring', 'aiml', 'cybersecurity', 'yc', 'introduction', 'resume', 'job', 'yc s21']","['NielsenIQ Recruitment 2025 – Associate Software Engineer (Python, Java, GenAI/ LLM, OOP) – Ap...\n\n\n\n#Fresher #jobs #B.E/ #B.Tech […] \n\n[Original post on freshercareers.in]', 'NielsenIQ Recruitment 2025 – Associate Software Engineer (Python, Java, GenAI/ LLM, OOP) – Ap...\n\n\n\n#Fresher #jobs #B.E/ #B.Tech […] \n\n[Original post on freshercareers.in]', 'NielsenIQ Recruitment 2025 – Associate Software Engineer (Python, Java, GenAI/ LLM, OOP) – Ap...\n\n\n\n#Fresher #jobs #B.E/ #B.Tech […] \n\n[Original post on freshercareers.in]']"
